,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,fullname,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,cohort,,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
61,Cer 42:2;3,Cer,,,,,,0,,1.253679991,,,,,1.253679991,up,NA,,,,,,0,NA,NA,,,,,0,NA,NA,0.643451989,,
62,Cer 44:0;2,Cer,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,,,,0,NA,NA,1.913830042,2.237349987,0.2
63,Cer 44:1;2,Cer,,,,,,0,,1.346750021,,,,,1.346750021,up,NA,,,,,,0,NA,NA,,,,,0,NA,NA,3.978359938,2.157469988,-0.9
64,Cer 44:2;2,Cer,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,,,,0,NA,NA,3.019390106,0.729857028,-2.0
65,DAG 12:0;0_18:0;0,DAG,,,,0.099427298,,0.099427298,,0.448008001,,,,,0.448008001,2.2,NA,,,,,,0,Down,Down,,,,,0,Down,Down,,,
66,DAG 12:0;0_18:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,,,,0,NA,NA,,0.461872011,#DIV/0!
67,DAG 14:0;0_16:0;0,DAG,6.780990124,1.795639992,2.300250053,4.834879875,8.556280136,4.853608036,8.516320229,21.83460045,5.689730167,2.332350016,3.867379904,6.043889999,8.047378461,0.7,0.37,,,2.690119982,3.423310041,,3.056715012,-0.7,0.44,2.028150082,8.018039703,2.766410112,2.275599957,3.772049963,-0.4,0.59,,,
68,DAG 14:0;0_16:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,,,,0,NA,NA,,0.973649979,#DIV/0!
69,DAG 14:0;0_17:0;0,DAG,1.000470042,,,,,1.000470042,,1.168190002,,0.443893999,,0.613479972,0.741854658,-0.4,NA,,,,,,0,Down,NA,,,0.372235,0.467382014,0.419808507,-1.3,NA,,,
70,DAG 14:0;0_18:0;0,DAG,2.857530117,0.579775989,1.037899971,2.15350008,3.162220001,1.958185232,3.778779984,9.988550186,4.135079861,1.439280033,2.356590033,2.425930023,4.020701687,1.0,0.19,0.382324994,1.446370006,1.212010026,1.89139998,1.319790006,1.250379002,-0.6,0.24,0.666745007,3.349189997,0.950340986,0.472281992,1.359639496,-0.5,0.49,,,
71,DAG 14:0;0_18:1;0,DAG,3.614559889,1.128730059,2.925349951,8.039819717,11.14850044,5.371392012,5.893970013,21.23800087,5.46201992,3.0761199,4.544209957,2.821310043,7.172605117,0.4,0.63,0.653711975,2.478569984,2.601999998,6.561699867,2.806090117,3.020414388,-0.8,0.29,2.281209946,4.169310093,2.144850016,1.293550014,2.472230017,-1.1,0.22,1.873090029,2.159940004,0.2
72,DAG 14:0;0_18:2;0,DAG,5.790979862,2.95065999,4.409029961,9.241820335,13.67770004,7.214038038,9.014570236,24.67110062,5.664899826,4.63297987,4.757400036,,9.748190117,0.4,0.57,,,3.298130035,4.906260014,2.194519997,3.466303349,-1.1,0.20,3.054850101,4.59968996,4.238850117,1.882560015,3.443987548,-1.1,0.14,,,
374,PC 15:0;0_18:2;0,PC,,,5.161719799,,30.11879921,17.6402595,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,7.895860195,,7.895860195,-1.2,Down,,,
74,DAG 14:0;0_20:1;0,DAG,0.457047999,,0.229893997,,,0.343470998,0.861088991,1.836420059,,0.285337001,,0.359032989,0.83546976,1.3,0.41,,,,,0.210646003,0.210646003,-0.7,NA,,,0.166424006,,0.166424006,-1.0,NA,,,
75,DAG 14:0;0_20:3;0,DAG,,,,,,0,,,,,0.464682013,,0.464682013,up,NA,,,,,,0,NA,NA,,,,,0,NA,NA,,,
76,DAG 14:0;0_20:4;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,0,NA,NA,,2.183300018,,,2.183300018,Up,NA,,,
77,DAG 14:0;0_22:6;0,DAG,,,,,,0,,7.395780087,,,,,7.395780087,up,NA,,,,,,0,NA,NA,,,,,0,NA,NA,,,
78,DAG 14:1;0_18:2;0,DAG,,,,,,0,,14.60879993,,,,,14.60879993,up,NA,,,,,,0,NA,NA,,,,,0,NA,NA,,,
381,PC 16:0;0_17:1;0,PC,,,1.41257,2.462270021,,1.937420011,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
80,DAG 15:0;0_16:0;0,DAG,14.34029961,5.972700119,2.736069918,6.887559891,13.71100044,8.729525995,12.17129993,12.33160019,7.473320007,3.79508996,4.763939857,4.613510132,7.524793347,-0.2,0.67,2.644540071,4.551310062,5.613910198,2.580049992,3.244339943,3.726830053,-1.2,0.07,3.664109945,9.397979736,3.642250061,3.40447998,5.027204931,-0.8,0.24,,,
81,DAG 15:0;0_17:0;0,DAG,,0.258807003,,,,0.258807003,,,,,,,0,down,NA,,,,,,0,Down,NA,,,,,0,Down,NA,,,
82,DAG 15:0;0_18:0;0,DAG,6.573880196,3.063600063,,2.646500111,,4.094660123,,8.65664959,6.354390144,,,4.141079903,6.384039879,0.6,0.27,,,2.651360035,,,2.651360035,-0.6,NA,,5.418829918,2.076189995,2.274869919,3.256629944,-0.3,0.64,,,
405,PC 16:1;0_17:0;0,PC,,,0.666387022,1.258620024,,0.962503523,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
430,PC 17:0;0_20:2;0,PC,0.784087002,1.910279989,,1.780470014,2.409430027,1.721066758,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,1.708789945,,1.344529986,,1.526659966,-0.2,0.73,,0.86502701,#DIV/0!
85,DAG 15:0;0_20:1;0,DAG,,0.211986005,,,,0.211986005,,0.34484601,,,,,0.34484601,0.7,Up,,,,,,0,Down,Down,,,,,0,Down,Down,,,
436,PC 17:1;0_18:2;0,PC,,,4.059490204,7.958930016,18.38299942,10.13380655,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
87,DAG 16:0;0_16:0;0,DAG,71.04730225,14.30029964,19.31189919,34.79389954,51.75439835,38.24155979,87.87270355,189.2590027,84.38210297,19.76420021,36.6935997,57.40930176,79.23015181,1.1,0.19,6.810569763,19.08449936,13.62940025,15.81719971,9.446310043,12.95759583,-1.6,0.05,16.88069916,108.7259979,20.21240044,10.36530018,39.04609942,0.0,0.97,4.323760033,3.830950022,-0.2
88,DAG 16:0;0_16:1;0,DAG,7.045119762,2.571039915,3.623300076,7.766349792,12.78750038,6.758661985,13.56869984,30.71170044,10.54059982,4.194970131,6.584959984,5.575200081,11.86268838,0.8,0.31,1.241799951,3.129790068,3.117909908,5.358890057,3.881690025,3.346016002,-1.0,0.11,3.487489939,9.013270378,3.549679995,3.260309935,4.827687562,-0.5,0.44,7.218220234,6.237589836,-0.2
89,DAG 16:0;0_16:2;0,DAG,0.740913987,0.342267007,0.375844985,0.769877017,1.096379995,0.665056598,,2.659169912,1.470289946,0.45610401,0.509047985,,1.273652963,0.9,0.25,,,,0.417804003,,0.417804003,-0.7,NA,0.385149986,1.020599961,0.342801005,,0.582850317,-0.2,0.75,,,
480,PC 18:2;0_19:0;0,PC,21.0237999,16.32710075,,14.6814003,21.8579998,18.47257519,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,6.03042984,,6.500030041,,6.26522994,-1.6,0.01,,,
91,DAG 16:0;0_17:2;0,DAG,,,0.247962996,,,0.247962996,,,,,,,0,down,NA,,,,,,0,Down,NA,,,,,0,Down,NA,,,
