Sample Name,CAS9,CAV,CAVIN
SM 34:1;4 (LCB 17:0;2-2H2O),0.0,0.0,0.0
"SM 40:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
SM 42:3;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 42:0;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 42:2;2 (LCB 18:0;2-H2O),0.0,0.0,0.0
SM 42:4;3 (LCB 18:0;2-H2O),0.0,0.0,0.0
"SM 34:2;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.0,0.0
SM 44:3;2 (SM),0.0,0.0,0.0
SM 44:2;2 (SM),0.0,0.0,0.0
SM 44:1;2 (SM),0.0,0.0,0.0
"SM 44:2;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
"SM 44:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
SM 48:1;4 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 48:1;4 (SM),0.0,0.0,0.0
SM 32:0;2 (LCB 17:0;2-2H2O),0.0,0.0,0.0
