,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,feature,class,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
131,DAG 17:1;0_17:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.000712007,#DIV/0!
158,Cer 40:1;2,Cer,0.014031901,0.032080314,0.03223581,0.026870708,0.022340639,0.025511874,0.089246431,0.072621475,0.04086584,0.067795117,0.074158832,0.084001988,0.071448281,1.5,0.00,0.048167906,0.041484907,0.067227634,0.036220653,0.074713668,0.053562954,1.1,0.01,0.030466867,0.047950253,0.045228169,0.054681579,0.044581717,0.8,0.01,0.128389761,0.026855766,-2.3
149,DAG 18:0;0_22:2;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.002102232,#DIV/0!
53,Cer 40:2;2,Cer,,,,0.003852869,0.003399427,0.003626148,0.016526352,0.012380204,0.007788059,0.01172322,0.012674916,0.017069404,0.013027026,1.8,0.01,0.008996806,0.004652002,,,0.017859021,0.01050261,1.5,0.26,,0.016437548,0.005062646,0.009352575,0.010284256,1.5,0.22,0.024386274,,
54,Cer 42:0;2,Cer,,,0.006742506,,0.003737633,0.00524007,0.009611274,0.014401425,0.007091407,0.011770804,0.006566181,0.009249384,0.009781746,0.9,0.10,0.004671406,0.008411569,0.024481772,0.008389591,0.007298474,0.010650563,1.0,0.40,0.006524414,0.010558117,0.006840637,,0.00797439,0.6,0.27,0.301756744,0.183965526,-0.7
175,Cer 42:0;3,Cer,0.017089721,0.020262397,0.018214449,0.018601218,0.013960388,0.017625634,0.028962646,0.030213512,0.012462198,0.022722558,0.034211365,0.031858443,0.026738454,0.6,0.04,0.025433664,0.014434209,0.019135797,0.012946521,0.017404481,0.017870935,0.0,0.92,0.019780956,0.017591486,0.016979579,0.01904418,0.01834905,0.1,0.60,0.032548136,0.019261473,-0.8
154,DAG 18:0;0_24:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.003829336,#DIV/0!
215,Cer 42:1;2,Cer,0.011997514,0.021632861,0.024078904,0.01874303,0.015802976,0.018451057,0.079427625,0.069244418,0.036019815,0.053755462,0.059437402,0.072090569,0.061662548,1.7,0.00,0.039076743,0.03255162,0.063369157,0.029173558,0.062231881,0.045280592,1.3,0.01,0.030078387,0.068615535,0.041758749,0.050847389,0.047825015,1.4,0.01,0.713846084,0.201905958,-1.8
58,Cer 42:1;3,Cer,0.013101552,0.018949984,0.014764326,0.014635076,0.010680748,0.014426337,0.021733732,0.018011068,0.007626134,0.017368546,0.018387636,0.017978814,0.016850988,0.2,0.35,0.015438815,0.009692649,0.014370129,0.008300455,0.010149337,0.011590277,-0.3,0.18,0.013426703,0.012667218,0.010270821,0.009355525,0.011430067,-0.3,0.13,0.045182366,0.012660039,-1.8
171,DAG 18:1;0_24:0;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.038181405,#DIV/0!
