Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Hex3Cer 40:1;2 (LCB 18:0;2-2H2O),0,0,0,0,0,31.4968,0,0,0,0,0,0,0,0,14.6708,20.792,0,0,0,0,0,0,0,0,0,13.9308,0,0,31,23,0,0,0,0,0,0,0,0,0,0,0,0
Hex3Cer 32:3;2 (LCB 18:0;2-H2O),0,0,0,0,0,0,1.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1785,0,0,0,0.8971,0,0,0,0,0,0
Hex3Cer 34:0;4 (LCB 18:0;2-H2O),0,0,0,0,0,0,5.8384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
Hex3Cer 34:1;4 (LCB 17:0;2-2H2O),0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hex3Cer 36:0;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,0,13.1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,19.1298,0,0,0,0,0
"Hex3Cer 38:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,107.5114,87.6305,0,0,0,0,0,0,0,0,139,181,0,0,0,0,21.8235,16.1838,6.4945,6.4176,0,0,0,0,36.4285,44.9046,0,0,104.0704,85.5418,0,43.8092,0,0,0,0
Hex3Cer 38:4;2 (LCB 18:0;2-H2O),0,0,0,0,0,0,42.8129,18.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7022,7.7022,0,0,0,0,0,0,0,0,0,0,0,0
Hex3Cer 36:4;4 (LCB 18:0;2-2H2O),0,0,0,0,0,0,106,122.1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.7422,75.8158,83.0821,96.3598,166.001,197.4435,0,0,0,0,0,0
Hex3Cer 37:2;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,251.1531,259.3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.107,68.7142,120,131.988,358.7387,322.2211,0,0,0,0,0,0
Hex3Cer 48:0;2 (LCB 17:0;2-2H2O),0,0,0,0,0,0,8,0,18.7803,33,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hex3Cer 47:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,15.4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hex3Cer 47:0;4 (LCB 18:0;2-H2O),0,0,0,0,0,0,894.0775,834.7983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
